-1.52  -0.877572  -0.620537
-1.33  -0.767876  -0.310269
-1.14  -0.658179  0
-0.95  -0.548483  0.310269
-0.76  -0.438786  0.620537
-1.33  -0.548483  -0.620537
-1.14  -0.438786  -0.310269
-0.95  -0.32909  0
-0.76  -0.219393  0.310269
-0.57  -0.109697  0.620537
-1.14  -0.219393  -0.620537
-0.95  -0.109697  -0.310269
-0.76  0  0
-0.57  0.109697  0.310269
-0.38  0.219393  0.620537
-0.95  0.109697  -0.620537
-0.76  0.219393  -0.310269
-0.57  0.32909  0
-0.38  0.438786  0.310269
-0.19  0.548483  0.620537
-0.76  0.438786  -0.620537
-0.57  0.548483  -0.310269
-0.38  0.658179  0
-0.19  0.767876  0.310269
0  0.877572  0.620537
-1.14  -0.877572  -0.620537
-0.95  -0.767876  -0.310269
-0.76  -0.658179  0
-0.57  -0.548483  0.310269
-0.38  -0.438786  0.620537
-0.95  -0.548483  -0.620537
-0.76  -0.438786  -0.310269
-0.57  -0.32909  0
-0.38  -0.219393  0.310269
-0.19  -0.109697  0.620537
-0.76  -0.219393  -0.620537
-0.57  -0.109697  -0.310269
-0.38  0  0
-0.19  0.109697  0.310269
0  0.219393  0.620537
-0.57  0.109697  -0.620537
-0.38  0.219393  -0.310269
-0.19  0.32909  0
0  0.438786  0.310269
0.19  0.548483  0.620537
-0.38  0.438786  -0.620537
-0.19  0.548483  -0.310269
0  0.658179  0
0.19  0.767876  0.310269
0.38  0.877572  0.620537
-0.76  -0.877572  -0.620537
-0.57  -0.767876  -0.310269
-0.38  -0.658179  0
-0.19  -0.548483  0.310269
0  -0.438786  0.620537
-0.57  -0.548483  -0.620537
-0.38  -0.438786  -0.310269
-0.19  -0.32909  0
0  -0.219393  0.310269
0.19  -0.109697  0.620537
-0.38  -0.219393  -0.620537
-0.19  -0.109697  -0.310269
0  0  0
0.19  0.109697  0.310269
0.38  0.219393  0.620537
-0.19  0.109697  -0.620537
0  0.219393  -0.310269
0.19  0.32909  0
0.38  0.438786  0.310269
0.57  0.548483  0.620537
0  0.438786  -0.620537
0.19  0.548483  -0.310269
0.38  0.658179  0
0.57  0.767876  0.310269
0.76  0.877572  0.620537
-0.38  -0.877572  -0.620537
-0.19  -0.767876  -0.310269
0  -0.658179  0
0.19  -0.548483  0.310269
0.38  -0.438786  0.620537
-0.19  -0.548483  -0.620537
0  -0.438786  -0.310269
0.19  -0.32909  0
0.38  -0.219393  0.310269
0.57  -0.109697  0.620537
0  -0.219393  -0.620537
0.19  -0.109697  -0.310269
0.38  0  0
0.57  0.109697  0.310269
0.76  0.219393  0.620537
0.19  0.109697  -0.620537
0.38  0.219393  -0.310269
0.57  0.32909  0
0.76  0.438786  0.310269
0.95  0.548483  0.620537
0.38  0.438786  -0.620537
0.57  0.548483  -0.310269
0.76  0.658179  0
0.95  0.767876  0.310269
1.14  0.877572  0.620537
0  -0.877572  -0.620537
0.19  -0.767876  -0.310269
0.38  -0.658179  0
0.57  -0.548483  0.310269
0.76  -0.438786  0.620537
0.19  -0.548483  -0.620537
0.38  -0.438786  -0.310269
0.57  -0.32909  0
0.76  -0.219393  0.310269
0.95  -0.109697  0.620537
0.38  -0.219393  -0.620537
0.57  -0.109697  -0.310269
0.76  0  0
0.95  0.109697  0.310269
1.14  0.219393  0.620537
0.57  0.109697  -0.620537
0.76  0.219393  -0.310269
0.95  0.32909  0
1.14  0.438786  0.310269
1.33  0.548483  0.620537
0.76  0.438786  -0.620537
0.95  0.548483  -0.310269
1.14  0.658179  0
1.33  0.767876  0.310269
1.52  0.877572  0.620537
